Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
11098-MAD,Female,30,Yes,"Madhya Pradesh",0,31,"Deal 1",Yes,No,Yes,"Fiber Optic",Yes,Yes,No,Yes,No,Yes,Yes,Yes,"Two Year",No,"Bank Withdrawal",95.10,6683.40,0.00,0.00,631.72,7315.12,Stayed,Others,Others
11114-PUN,Male,51,No,Punjab,5,9,"Deal 5",Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,"Bank Withdrawal",49.15,169.05,0.00,10.00,122.37,301.42,Churned,Competitor,"Competitor had better devices"
11167-WES,Female,43,Yes,"West Bengal",3,28,"Deal 1",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Two Year",Yes,"Bank Withdrawal",116.05,8297.50,42.57,110.00,1872.98,10237.91,Stayed,Others,Others
11179-MAH,Male,35,No,Maharashtra,10,12,None,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",84.40,5969.30,0.00,0.00,219.39,6188.69,Stayed,Others,Others
11180-TAM,Male,75,Yes,"Tamil Nadu",12,27,"Deal 2",Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,No,No,"Two Year",Yes,"Credit Card",72.60,4084.35,0.00,140.00,332.08,4556.43,Stayed,Others,Others
11241-MAD,Female,41,Yes,"Madhya Pradesh",4,11,None,Yes,No,Yes,"Fiber Optic",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",105.10,3634.80,0.00,0.00,95.88,3730.68,Stayed,Others,Others
11244-JAM,Female,20,No,"Jammu & Kashmir",3,9,None,Yes,Yes,Yes,Cable,Yes,No,No,No,Yes,Yes,Yes,No,"One Year",No,"Bank Withdrawal",76.00,1588.75,7.30,70.00,305.80,1957.25,Stayed,Others,Others
11251-UTT,Female,51,No,Uttarakhand,1,19,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,"One Year",No,"Bank Withdrawal",25.20,245.15,0.00,0.00,20.57,265.72,Stayed,Others,Others
11262-HAR,Female,73,Yes,Haryana,5,32,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",95.10,95.10,0.00,0.00,4.89,99.99,Churned,Price,"Price too high"
11263-HAR,Female,41,No,Haryana,13,31,"Deal 2",Yes,Yes,Yes,"Fiber Optic",Yes,No,No,No,Yes,Yes,Yes,Yes,"One Year",Yes,"Credit Card",99.65,6311.20,0.00,0.00,90.09,6401.29,Stayed,Others,Others
11264-MAH,Female,27,Yes,Maharashtra,14,17,"Deal 5",No,No,Yes,DSL,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",-4.00,24.80,0.00,0.00,0.00,24.80,Churned,Dissatisfaction,"Product dissatisfaction"
11272-UTT,Female,65,No,"Uttar Pradesh",0,19,"Deal 5",Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",75.85,256.60,0.00,0.00,133.02,389.62,Churned,Competitor,"Competitor offered more data"
11277-UTT,Male,66,Yes,"Uttar Pradesh",10,23,None,Yes,No,Yes,DSL,No,Yes,Yes,No,No,No,No,Yes,"One Year",Yes,"Bank Withdrawal",54.80,731.30,0.00,0.00,136.63,867.93,Stayed,Others,Others
